ID,Volume,Part,Page,Date,Date_cleaned,Date_certainty,Author,Author_certainty,Author_Wkdt,sex or gender,VIAF cluster ID,Title,Imprint,Quotation,Headnote,Index_keywords,language
part1_p345_a1,Vol.1,Part I,p345,1716.,1716,high,Unknown.,high,Unknown,,,"Brown Bread and Honour, A Tale moderniz’d from an Ancient Manuscript of Chaucer.","London. Printed for John Morphew, near Stationers-Hall, 1716 (Price 3d.).","[There is nothing about Chaucer in the poem, which is a
satire in verse, the title being founded on the Prol. to W. of
Bath's Tale, Il. 143-4;
Lat hem be breed of pured whete-seed,
And lat us wyves hoten barly-breed.]",,"bookTitles,,/works,canterburyTales,wifeBathPrologue",en
part1_p345_a2,Vol.1,Part I,p345,1717.,1717,high,"Catcott, [Alexander Stopford].",high,Alexander Stopford Catcott,male,59476965,The Court of Love. A Vision from Chaucer.,"Oxford, 1717.","[A free paraphrase in heroic couplets of the original poem,
which is not by Chaucer.]",,"modernizations,particular,catcott",en
part1_p345_a3,Vol.1,Part I,p345,[1717.,[1717,high,"Dennis, John.]",medium,John Dennis,male,100973436,A True Character of Mr. Pope.,The Second Edition. p. 3. [Not in first edition.],"... In all his Productions, he has been an Imitator...
His Pastorals were writ in Imitation of VIRGIL... His Temple
of Fame, of CHAUCER.",,,en
part1_p345_a4,Vol.1,Part I,p345,1717.,1717,high,"[Fenton, Elijah.]",medium,Elijah Fenton,male,47705399,A Tale Devised in the plesaunt manere of gentil Maister JEOFFREY CHAUCER,"[no reference to Chaucer in the Poem] Poems on Several Occasions [by Elijah Fenton]. Printed for Bernard Lintot, 1717, p. 169. (The Works of the English Poets, by Dr. Samuel Johnson. Additional Lives by A. Chalmers, 1810, vol. x, p. 412.)",,,"imitations,particularImitators,fenton",en
part1_p345_a5,Vol.1,Part I,p345,1717.,1717,high,"Gay, John.",high,John Gay,male,2480890,An Answer to the Sompner's Prologue of Chaucer In Imitation of Chaucer's Style.,"[published in] Poems on Several Occasions, by Mr. John Gay,... London... 1720, vol. ii, pp. 311-5. (Poems of John Gay, Muses’ Library, ed. John Underhill, 1893, vol. ii, pp. 379-81; the note on p. 378 as to date of first appearance is incorrect.)",,,"imitations,particularImitators,gay/works,canterburyTales,sompnourTale",en
part1_p346_a1,Vol.1,Part I,p346,1717.,1717,high,"Pope, Alexander.",high,Alexander Pope,male,61551003,"Eloisa to Abelard,","[in] The Works of Mr. Alexander Pope, 4°, p. 421. (Works, 1871, vol. ii, p. 241.)","Love, free as air, at sight of human ties,
Spreads his light wings, and in a moment flies.","[The reference is to the Frankeleyn's Tale, ll. 36-88. See below, p. 489.]","modernizations,particular,pope/works,canterburyTales,franklinTale",en
part1_p346_a2,Vol.1,Part I,p346,1717.,1717,high,"[Sewell, George.]",medium,George Sewell,male,54200956,Memoirs,"[prefixed to] Poems of Henry Howard Earl of Surrey, pp. xv-xvi.",,"[Sewell quotes Fenton's lines on Chaucer. See above, 1710-11, p. 313.]",,en
part1_p346_a3,Vol.1,Part I,p346,1717.,1717,high,"Winchelsea, Anne, Countess of.",high,"Anne Finch, Countess of Winchilsea",female,295362208,"To Mʳ Pope, by the Right Honourable Anne, Countess of Winchelsea,","[in] The Works of Mr. Alexander Pope. London. Printed for Bernard Lintot 1717. fol. sign. d. i. (Pope, Works, 1871, vol. i, p. 21.)","Your Tales be easy, natural and gay,
Nor all the Poet in that part display;
Nor let the Critic, there his skill unfold,
For Boccace thus, and Chaucer tales have told.",,,en
part1_p346_a4,Vol.1,Part I,p346,1718.,1718,high,"Dart, John.",high,John Dart,male,283156923,"The Complaint of the Black Knight, from Chaucer,","by Mr. Dart. Preface, sign. a 2, a 5 b.","He [Chaucer] who doubtless was a gentleman indu’d with
all the Accomplishments that could oblige the Learned, and
the Fair; He who was finely turn’d for the Court, and excel¬
lently form’d for Love, seems now [through the obsoleteness
of his language] a very unfashionable courtier and an anti¬
[sign.a 5] quated Lover.  ... I could wish that Gentlemen would
[sign. a    unite their Endeavours to dress him intirely in a more refin'd
5b]
Habit... that he may be fashionable to keep Company
with the Ladies who otherwise are depriv’d of Conversing
with the greatest Poet that England (or perhaps the World)
ever produc’d.","[There are references to Chaucer on every page of the preface. This is really Lydgate's poem, 1402-3 (q. v. above, p. 16), and references to Chaucer's Knight's Tale are on pp. 19-20 of this edition.]","modernizations,general,praisedDefended/modernizations,particular,dart",en
part1_p346_a5,Vol.1,Part I,p346-347,1718.,1718,high,"Gildon, Charles.",high,Charles Gildon,male,50128721,"The Complete Art of Poetry,","vol. i, pp. 67, 82.","[p. 67] [Various objections to Poetry. That it is the mother of Lies,
the Nurse of Abuse] ’Tis farther urged, that Chaucer says, that
before Boers [sic for Poets] had soften'd us, we were full of
Courage, and given to Martial Exercises, the Pillars of
Manlike Liberty, not lull’d asleep in Shady Idleness, and
Poetical Pastimes.
. . . . .       . . .
[p. 32] As for its Rise in England, especially in our native Tongue,
we have very blind Footsteps to trace it; Chaucer, Gower,
and Lydgate, were the first who made any tolerable Figure in
that Dress; of whom Chaucer is the only one who may justly
claim the Name of a Poet. After him, English Poetry was
totally neglected.  ...","[The first part of this book is an essay on Poetry, and the second part a collection of extracts from various poets on different subjects, of the same nature as Bysshe's Art of Poetry, 1702. In vol. ii, to face title page, Chaucer is among the list of ""Authors cited in this Book,"" but all quotations are from Dryden's versions.]",,en
