ID,Volume,Part,Page,Date,Date_cleaned,Date_certainty,Author,Author_certainty,Author_Wkdt,sex or gender,VIAF cluster ID,Title,Imprint,Quotation,Headnote,index_category,language
part5_p143_a2,Vol.3,Part V,p143,1849.,1849,high,"Gesenius, F. W.",high,Friedrich Wilhelm Gesenius,male,42703207,Probe eines Chaucerschen Manuscriptes der Nationalbibliothek in Paris,"[in] Archiv für das Studium der neueren Sprachen und Litteraturen, vol. v, pp. 1-15.",,,,de
part5_p143_a3,Vol.3,Part V,p143,1853.,1853,high,"Behnsch, Ottomar.",high,Ottomar Behnsch,male,47505396,Geschichte der Englischen Sprache und Litteratur,"von den ältesten Zeiten bis zur Einführung der Buchdruckerkunst, Breslau 1853, pp. 180-97.","[A good short account of Chaucer and his work; his
knowledge of versification is upheld and vindicated, in con¬
tradistinction to the view of English writers, e.g. R.
Chambers in the Cyclopædia of English Literature, 1844,
who is quoted as stating that Chaucer, whenever it suits
him, “makes accented syllables short, and short syllables
emphatic."" Behnsch points out the different accentuation of
the French words used by Chaucer (natúre, coráges, etc.), as
well as the sounding of the final ""e,"" and shows how much
this affects the proper scansion of his verse.]",,"biography,general-accounts,german/criticism,verse,praised",de
part5_p143_a4,Vol.3,Part V,p143-144,1856.,1856,high,"Hertzberg, Wilhelm.",high,ويلهلم هيرتزبيرغ,male,72153653,"Die Erzählung des Weibes von Bath,","aus Gottfried Chaucer’s ‘Canterbury-Erzählungen.’ Translated into German heroic verse, [in] Deutsches Museum, hrsg. von Robert Prutz, No. 6, Feb. 7, 1856, pp. 193-202. Geoffrey Chaucer's Leben und Schriftstellerischer Charakter [in] Deutsches Museum, No. 8, Feb. 21, 1856, pp. 271-89.","[A very good account of Chaucer’s life and work.]
[p. 288] Chaucer's Charakteristiken lösen eins der schwerigsten
Probleme der Kunst: sie sind individuell und typisch zu¬
gleich; das heisst, sie machen auf uns einestheils den Eindruck
[p. 289] einer concreten lebendigen Persönlichkeit und stellen doch
andererseits eine ganze Classe von Personen dar, und da sie
die Darstellung der aüssern Erscheinung an Eigenthümlich¬
keiten des menschlichen Geistes knüpfen, die zu allen Zeiten,
wenn auch unter andern Formen wesentlich dieselben
bleiben, so werden wir dadurch unwillkürlich und wie
durch magischen Zwang in diejenigen Zeiten und Sitten
zurückversetzt, deren Schilderung die nächste Aufgabe des
Dichters ist.  ...
Ich habe schon bemerkt, dass die komischen Erzähl¬
ungen vortrefflich, zum Theil meisterhaft angelegt sind;
Chaucer's Hauptstärke liegt aber doch in den komischen
Digitized by Google  Original from University of Michigan
Charakter-Zeichnungen. Es steht ihm jeder Grad der Satire
zugebote. Den Hochmuth, die Unverschämtheit, vor allem
aber die Heuchelei geisselt er mit den schärfsten Hieben.
Das kleine Gebrechen, das Steckenpferd, die Thorheit—
er straft sie allerdings auch schon, indem er sie schildert, aber
er straft sie lachend–oder vielmehr lächelnd. Es ist nichts
Superkluges, keine Selbstüberhebung in dieser Ironie, es
liegt darin das gutmüthige Einverständniss, dass Jedermann
hienieden, dass auch er, der Dichter, sein Päckchen Thor¬
heit trage, dass mit Alle des Ruhms mangeln, den wir haben
sollen, nicht blos weil wir allzumal Sünder, sondern auch
–mehr oder weniger-allzumal Narren sind. Und hier¬
mit glaube ich, auf den feinsten und merkwürdigsten Zug
in Chaucer’s dichterischem Charakter hingewiesen zu haben
–auf einem Zug, der von allen Dichtern der Welt zuerst
bei ihm zur klaren Entfaltung gekommen, der seitdem
der eigenste und vielleicht der liebenswürdigste Zug des
englischen Volks-charakters geworden ist: Chaucer ist der
erste Humorist.
[The above excellent criticism is embodied in the
‘Einleitung' to Hertzberg’s translation of the Canterbury
Tales which was published ten years later. See below, 1866.]",,"biography,general-accounts,german/criticism,qualities,humourWit/works,canterburyTales,wifeBathTale/works,canterburyTales,criticism",de
part5_p144_a1,Vol.3,Part V,p144,1856.,1856,high,"P., R.",low,Unknown,,,"[A review of] Englische Dichter,","eine Auswahl englischer Dichter in deutschen Übersetzungen von O. L. H... r [in] Deutsches Museum, No. 43, Oct. 23, 1856, p. 623.","[A passing allusion to Chaucer’s times, and to the life of
him in an earlier number (No. 8) of the Deutsches Museum,
q.v. above, 1856.]",,,de
part5_p144_a3,Vol.3,Part V,p144,1859.,1859,high,"Ebert, Adolf.",high,Adolf Ebert,male,56711834,Die Englischen Mysterien,"[in] Jahrbuch für romanische und englische Sprache und Litteratur, Berlin, Jan. 1859, pp. 150, 155, 166.","[p. 150] [The national originality of the characters in the mystery
plays is remarkable, as in Chaucer’s Milleres Tale.]
[p.155] [The individual character drawing in the mysteries reminds
one of the creations of the great master Chaucer.]",,,de
part5_p145_a1,Vol.3,Part V,p145,1859.,1859,high,"Rapp, Carl Moritz.",high,Karl Moritz Rapp,male,29088568,"Vergleichende Grammatik,","Stuttgart und Tübingen, vol. iii, pp. 166-179.","[For a summary of this see Early English Pronunciation,
by A. J. Ellis, 1867-71, vol. iii, pp. 672-77.]",,,de
part5_p145_a2,Vol.3,Part V,p145,1860.,1860,high,"Pauli, Reinhold.",high,Reinhold Pauli,male,17382986,"Bilder aus Alt-England,","Gotha, 1860, chap. vii, Zwei Dichter, Gower und Chaucer.","[An English translation of this book was published in 1861.]
[pp. 184-188. Chaucer's Life.]
[pp. 193-196. His early poems.]
[pp. 196-208. The Canterbury Tales, a detailed account.]
[p. 208. Conclusion.] Auf dem Gebiete, das er sich so
köstlich abgesteckt und mit lebendigen Gestalten auszufüllen
gewusst, in einer Sprache, die fortdauert und niemals ganz
veralten kann, kommen ihm darum auch nur sehr wenige
nahe; in echt poetischem Realismus hat ihn selbst Shakspere
nicht übertroffen. Dabei versteht er mitten in der Mannig¬
[p. 209] faltigkeit seiner Darstellung, wie es der Dichter soll, Mass
und Einheit inne zu halten. Das stimmt sehr gut zu seinem
Benehmen gegenüber den grossen politischen und religiösen
Fragen seiner Zeit, die ihn niemals in die Enge getrieben wie
Gower oder in das entgegengesetze Extrem fortgerissen, über
die er vielmehr, so weit wir davon urtheilen können, im
eigenen Herzen sich völlig klar gewesen und sie daher
objectiv, wie seine ganze Natur angelegt war, zu behandeln
trachtete. Edel und reich ausgestattet wie er selber ist also
auch die Leistung, die ihn unsterblich macht. Zwar darf er
sich den wenigen Auserwählten, die den herrlichsten Lorbeer
tragen, nicht ebenbürtig an die Seite stellen, aber den
Ehrennamen: Vater der englischen Poesie trägt Niemand
würdiger.",,"biography,general-accounts,german/works,canterburyTales,criticism",de
part5_p145_a3,Vol.3,Part V,p145-146,1866.,1866,high,"Hertzberg, Wilhelm.",high,ويلهلم هيرتزبيرغ,male,72153653,Chaucer's Canterbury-Geschichten,"übersetzt in den Versmassen der Urschrift und durch Einleitung und Anmerkungen erläutert von Wilhelm Hertzberg, Bibliothek ausländischer Klassiker, 41, Hildburghausen, 1866.","[A good and close translation of the whole of the Canterbury
Tales, with the exception of Melibœus and the Parson's Tale.]
Vorwort, pp. 5-10. [Dated Bremen, 1865. The writer's
object and method in doing this translation is stated, with
some account of earlier work on Chaucer in England and in
Germany.]
Einleitung. Geoffrey Chaucer's Zeitalter, Leben und
schriftstellerischer Charakter, pp. 13-64.
[A good account of Chaucer's times and life, he is shown
definitely not to be the author of the Testament of Love,
therefore that poem can not be accepted as a biographical
source (pp. 36, 37). There follows a good deal of interest¬
ing and original literary criticism and appreciation, some of
which had already been printed in the Deuteches Museum
Feb. 21, 1856, and is here quoted under that date.]
[Here are two specimens of the translation. Prologue,
ll. 447-57.]
[p. 79] Ein gutes Weib war da; sie war nicht weit
Von Bath; doch etwas taub, das that mir leid.
Als Tuchfabrik war so berühmt ihr Haus,
Sie stach am Markte Gent und Cypern aus.
Kein Weib im Kirchspiel, die sich unterfing,
Dass sie vor ihr zum Messehören ging.
Und that es Eine, wurde sie so schlimm,
Dass die der Andacht ganz vergass vor Grimm.
Höchst prächtig sass ihr auf dem Kopf der Bund,
Ich schwöre traun, er wog beinah zehn Pfund,
[p. 80] Zum mindesten, wie sie ihn Sonntags trug.
. . . . . . . .
DAS REIMGEDICHT VOM HERRN THOPAS.
[p. 463]
Herrschaften, leiht mir euer Ohr,
Ein wahres Lied trag' ich euch vor
Von Kurzweil und von Spass;
Es that vor allem Ritterchor
Sich in Turnei und Schlacht hervor
Der edle Herr Thopas.
Er war geboren an fernem Strand,
Jenseit des Meers in fläm’schem Land,
Zu Popering am Gestade.
Sein Vater war von gutem Stand,
Er war der Herr in diesem Land,
So wollt' es Gottes Gnade.",,"works,canterburyTales,editionsGerman",de
part5_p146_a1,Vol.3,Part V,p146-147,1867.,1867,high,"Hertzberg, Wilhelm.",high,ويلهلم هيرتزبيرغ,male,72153653,Nachlese zu Chaucer,"[in] Jahrbuch für romanische und englische Litteratur, Leipzig, 1867, Bd. viii, Heft 2, pp. 129-169.","[Various points about Chaucer's life are discussed.
Hertzberg disagrees with Mr. Bond’s theory that in the
dream in the Book of the Duchesse John of Gaunt’s marriage
to Blanche of Lancaster is commemorated. He criticises
and praises Sandras’s ‘Étude,' which has just appeared, and
Kissner’s Dissertation on Chaucer's relation to Italian litera¬
ture (1867). He adds some remarks arising out of his own
translation of Chaucer sent him by two German scholars,
Herr Dr. Duroy of Hamburg, and Herr Pastor Carow.]",,,de
part5_p147_a1,Vol.3,Part V,p147,1867.,1867,high,"Kissner, Alfons.",high,Alfons Kissner,male,45048322,"Chaucer in seinen Beziehungen zur italienischen Literatur,","Diss., Marburg, 1867.",,,,de
