ID,Volume,Page,Date,Author,Title,Imprint,Quotation,headnote
vol1_p4_a3,Vol.1,p4,"1375, Dec. 28",,"Grant to Chaucer of the wardship of the heir of John Solys, a tenant of the heir of Thomas de Ponynges, tenant of the King in chief.","Patent Roll, 49 Edw. III, p. 2, m. 4 (Kirk, 198).",,
vol1_p4_a4,Vol.1,p4,"1376, July 12",,"Chaucer obtains a grant of the price of wool forfeited by John Kent, of London, who had exported it to Dordrecht without paying custom.","Patent Roll, 50 Edw. III., p. 1, m. 5 (Kirk, 199. Godwin, App. xii).",,
vol1_p4_a5,Vol.1,p4,"1376, Dec. 28",,"Payment to Chaucer, going on the King'e secret affairs in the company of Sir John de Burlee, of £6 13s. 4d.","Issue Roll, Mich., 51 Edw. III., m. 25 (Kirk, 201. Nicolas, note G).",,
vol1_p4_a6,Vol.1,p4-5,1376-9,"Gower, John.","Mirour de l’omme,","Cambr. univ. lib., MS. Add. 3035, ll. 5249-60. (Works of John Gower, ed. G. C. Macaulay, 1899-1902, vol. i, p. 64.)","[Somnolent, one of the Children of Sloth, is bored by church-going; he does not think of his prayers.]
...ainz bass la teste
Mettra tout seuf sur l’eschamelle,
Et dort, et songe en sa cervelle
Qu’il est au bout de la tonelle,
U qu’il oït chanter la geste
De Troylus et de la belle
Creseide, et ensi se concelle
A dieu d’y faire sa requeste.","[There is considerable doubt as to whether this reference is to Chaucer's Troilus or not. For evidence that it is, see J. S. P. Tatlock in Modern Philology, 1903, vol. i, pp. 317-24, also his Development and Chronology of Chaucer’s Works, Chaucer Soc. 1907, particularly pp. 15-34, 220-5. On the other hand, neither Dr. Macaulay, the editor of Gower, nor many other Chaucer students, accept Prof. Tatlock’s identification of Gower's geste with Chaucer's
poem. It upsets the generally received scheme of Chaucer's chronology, and is moreover contradicted by Prof. J. L Lowes's admirable suggestion that the A. in st. 25, bk. i ot the Troilus–'Right as our firste letter is now an A,' is Anne of Bohemia, crowned Queen of England on Jan. 14, 1382, about whom Chaucer had written in the Parliament of Foules; see Publications of the Modern Language Association, 1908, vol. xxiii, no. xili, pp. 285-306.]"
vol1_p5_a1,Vol.1,p5,"1377, Feb. 12",,"Letters of Protection are granted to Chaucer, to last till Sept. 29, he being about to go abroad in the King’s service.","French Roll, 51 Edw. III, m. 7 Kirk, 201. Godwin, App. xiii).",,
vol1_p5_a2,Vol.1,p5,"1377, Feb. 17",,"Payments to Sir Thomas Percy and Geoffrey Chaucer, sent to Flanders on the King's secret affairs, on account of their expenses.","Issue Roll, Mich., 51 Edw. III., m. 29 (Kirk, 201-2. Nicolas, note H).",,
vol1_p5_a3,Vol.1,p5,"1377, Feb. 17, June 26",,"Chaucer's enrolled Account for his two journeys to Paris, Montreuil, and elsewhere.","Exchequer, L. T. R., Foreign Accounts, 3 Ric. Il., forula D, dorse (Kirk, 202-3).",,"[See entry under Froissart, 1410, p. 20 below.]"
vol1_p5_a4,Vol.1,p5,"1377, April 11",,The King gives Chaucer a reward for his services in several voyages abroad.,"Issue Roll, Easter, 51 Edw. III., m. 2 (Kirk, 205. Nicolas, note I).",,
vol1_p5_a5,Vol.1,p5,"1377, April 28",,"Letters of Protection are again granted to Chaucer, to last till Aug. 1, he being about to go abroad in the King’e service.","French Roll, 51 Edw. III., m. 5 (Kirk, 205. Godwin, App. xiv).",,
vol1_p5_a6,Vol.1,p5,"1377, April 30",,"Payment on account to Chaucer, sent to France on the King’s secret affairs.","Issue Roll, Easter, 51 Edw. III., m. 6 (Kirk, 205-6. Nicolas, note I).",,
vol1_p5_a7,Vol.1,p5,"1377, April.",,"The Earl of Salisbury and others, including Chaucer, are sent on an embassy to France.","John Stowe’s Annales of England, 1592, p. 431",,"[q. v. below, p. 136]."
vol1_p5_a8,Vol.1,p5,"1377, June 22",,The new King grants Chaucer the office of Controller of the Customs.,"Patent Roll, 1 Ric. Il., p. 1, m. 27 (Kirk, 206).",,
vol1_p5_a9,Vol.1,p5,"1377, July 9",,Petition of Edmund... Staplegate... in which he says that he had paid Chaucer (Geffray Chausyer) for his wardship and marriage £104.,"Close Roll, 1 Ric. II., m. 45 (Kirk, 207-8. Godwin, App. XV).",,
vol1_p5_a10,Vol.1,p5,"1377, July 26",,"Extracts from the Account of Richard de Beverlee, showing the payments to Chaucer for his robes as ""scutifer Regis,"" and for his wine pension, from Nov. 25, 1376, to this date.","Exchequer Q. R. Wardrobe and Household Accounts, 398|9 (Kirk, 209-10).",,
vol1_p5_a11,Vol.1,p5,"1377,  Sept 29–Sept. 29, 1378",,Chaucer is charged with a balance of 18s. 9d. for wages in the King’s Household overpaid.,"Pipe Roll, 1 Ric. II. (Kirk, 212-3).",,
vol1_p5_a12,Vol.1,p5,"1378, Mar. 9",,Chaucer becomes surety for Sir William Beauchamp.,"Fine Roll, 1 Ric. Il., p. 2, m. 11 (Kirk, 213).",,
vol1_p5_a13,Vol.1,p5,"1378, Mar. 23",,"The King confirms his grandfather's grant to Chaucer of an annuity of 20 marks, because he has retained him in his service; with a reference to a later grant to John Scalby on May I, 1388.","Patent Roll, 1 Ric. II., p. 6, m. 27 (Kirk, 213).",,
vol1_p6_a1,Vol.1,p6,"1378, April 18",,Chaucer has a grant under the Privy Seal of 20 marks a year in lieu of his daily pitcher of vine.,"Warrants (Chancery), Series I, Writs of Privy Seal, 1 Ric. II., file 456, No. 339 (Kirk, 214. Nicolas, note K).",,
vol1_p6_a2,Vol.1,p6,"1378, April 18",,"Enrolment of the letters patent of the same grant; with a reference to a later grant to John Scalby on May I, 1388.","Patent Roll, 1 Ric. Il., p. 5, m. 6 (Kirk, 215).",,
vol1_p6_a3,Vol.1,p6,"1378, May 10",,"Letters of Protection for Chaucer, going abroad on the King's service.","French Roll, 1 Ric. Il., p. 2, m. 6 (Kirk, 215).",,
vol1_p6_a4,Vol.1,p6,"1378, May 21",,"Chaucer has the King's letters of attorney, for John Gower and Richard Forester, during his absence abroad.","French Roll, 1 Ric. Il., p. 2, m. 6 (Kirk, 216. Nicolas, note M).",,
vol1_p6_a5,Vol.1,p6,"1378, May 28",,"Payments to John of Gaunt for his army serving in the King’s wars; and to Sir Edward de Berkeley and Geoffrey Chaucer, sent to the Lord of Milan and [Sir] John Hawkwood, in Lombardy, for assistance in the said wars.","Issue Roll, Easter, 1 Ric. Il., m. 14, 16 (Kirk, 217).",,
vol1_p6_a6,Vol.1,p6,"1378, Sept. 19",,"Chaucer's enrolled Account for his journey to Lombardy, from May 28 to this date.","Exchequer L. T. R., Foreign Accounts, 3 Ric. II., forula D., dorse (Kirk, 218-9).",,
vol1_p6_a7,Vol.1,p6,"1378, Sept. 29-Sept. 29, 1379",,"The Sheriffs of London pay the 18s. 9d. charged on Chaucer (see under Sept. 29, 1377); and Chaucer is charged with moneys advanced to him for his journeys to Flanders and France on the King's affairs.","Pipe Roll, 2 Ric. Il. (Kirk, 219).",,
vol1_p6_a8,Vol.1,p6,"1380, Feb. 26",,"Two Writs to the Exchequer for payment of Chaucer's expenses on his journeys to France and Italy (see under Sept. 19, 1380).","Exchequer Q. R. Memoranda Roll, Easter, 3 Ric. II., m. 9. (Kirk, 338).",,
vol1_p6_a9,Vol.1,p6,"1380, May 1",,"Deed of Release by Cecily Chaumpaigne to Geoffrey Chaucer in respect of her ""raptus.""","Close Roll, 3 Ric. II., m. 9 d. (Kirk, 225-6).",,
vol1_p6_a10,Vol.1,p6,"1380, June 30 and July 2",,"Deeds of Release by Richard Goodchild and John Grove to Chaucer, and by Cecily Chaumpaigne to them, with a bond by John Grove to her for £10.","City of London Records, Pleas and Memoranda, A. 23, m. 5 d. (Kirk, 226-7).",,
vol1_p6_a11,Vol.1,p6,"1381, March 6",,"Gift of £22 by the King to Chaucer, as compensation for his wages and expenses in going to France in the time of Edward III. to treat of a peace, and again to negotiate a marriage between Richard II. and a French Princess.","Issue Roll, Mich., 4 Ric. II., m. 21 (Kirk, 230. Nicolas, note R).",,"[See also entries under Feb. 17, 1277, and Sept. 29, 1378-Sept. 29, 1379. See below, 1410, for a reference to this in Froissart.]"
vol1_p6_a12,Vol.1,p6,"1381, June 19",,"Release by Geoffrey Chaucer, son of John Chaucer, Vintner, of London, to Henry Herbury, of a tenement in St. Martin’s in the Vintry, extending from Thames Street to the Water of Walbrook, which had belonged to his father.","Husting Roll, 110. No. 8 (Kirk, 232-3).",,
vol1_p7_a1,Vol.1,p7,"1381, Nov. 28",,"Payment to Brembre and Philippot of £20 each, and to Chaucer of 10 marks, for their diligence in collecting the Customs and Subsidies.","Issue Roll, Mich., 5 Ric. Il., m. 10 (Kirk, 235).",,"[See Notes and Queries, 3 S., 1865, viii, p. 367. Similar rewards are made on Dec. 10, 1382; Feb. 11, Dec 9, 1384; Dec. 11, 1385; Nov. 28, 1386. Kirk, pp. 241, 245, 250, 256, 267. In the entry on the Issue Roll for Dec. 9, 1384 (Kirk, p. 250), the name is given as Philippo CHAUCER, but this is an evident error for Galfrido; see W D. Selby in the Athenæum, April 14, 1888, p. 468.]"
vol1_p7_a2,Vol.1,p7,"1382, April 20",,"Grant to Chaucer of the office of Controller of the Petty Custom in the Port of London, during the King's pleasure.","Patent Roll, 5 Ric II., p. 2, m. 21; and Chancery Warrants, series I, file 1565 (Kirk, 236).",,
vol1_p7_a3,Vol.1,p7,"1382, May 8",,"Grant to Chaucer of the office of Controller of the Petty Custom in the Port of London, with ""the other part"" of the ""Coket"" seal.","Patent Roll, 5 Ric. II., p. 2, m. 15 (Kirk, 237. Godwin, App. xvii).",,
vol1_p7_a4,Vol.1,p7,"1382, Sept. 29",,"Account of John Organ and Walter Sibill, Collectors of [Petty] Customs, under the survey of John Hyde and Geoffrey Chaucer, successively Comptrollers, for the year preceding.","Enrolled Accounts, Customs, Roll 14, m. 39 (Kirk, 239).",,"[Similar entries occur of the Petty Customs Accounts under the survey of Chaucer, on Sept. 29–Dec. 5, 1382, Dec. 5, 1382, Sept. 29, 1383, July 8, 1384, Sept. 29, 1385, Sept. 29, 1386 (when a house was hired for collecting and depositing the Customs), and finally under the survey of Chaucer and his successor, Henry Gysores, on March 15, 1387. Kirk, pp. 239, 241, 244, 247, 254, 263, 269. Chaucer was superseded in the office of Controller of Petty Customs (and also of the Customs) in Dec. 1386.]"
vol1_p7_a5,Vol.1,p7,"1384, Nov. 25",,"Licence to Chaucer to be absent from his office of Controller of Customs for one month, provided he appoint a sufficient deputy.","Close Roll, 8 Ric. Il., m. 31 (Kirk, 250. Godwin, App. xviii, who gives it incorrectly as m. 30).",,
vol1_p7_a6,Vol.1,p7,"[1385, Feb.]",,Petition of Chaucer to the King for leave to appoint a permanent deputy at the Wool-quay of London; with a note of the King's assent.,"Warrants, Chancery, series I, file 1401 (Kirk, 251).",,"[See W. D. Selby in the Athenæum, Jan. 28, 1888, p. 116.]"
vol1_p7_a7,Vol.1,p7,"1385, Feb. 17",,"Licence to Chaucer to appoint a deputy in his office of Controller, as long as he holds it.","Patent Roll, 8 Ric. II., p. 2, m. 31. (Kirk, 251. Godwin, App. xix).",,
vol1_p7_a8,Vol.1,p7,"1385, Oct. 12",,Association of Chaucer with the Warden of the Cinque Ports and others as one of the Justices of the Peace for the County of Kent.,"Patent Roll, 9 Ric. Il., p. 1, m. 30 d (Kirk, 254).",,
vol1_p7_a9,Vol.1,p7,"1386, June 28",,"Commission of the Peace to Simon de Burley, Warden of the Cinque Ports, and others, including Geoffrey Chaucer, for the County of Kent.","Patent Roll, 10 Ric. II., p. I, m. 47 d (Kirk, 259-61).",,
vol1_p7_a10,Vol.1,p7-8,"1386, Aug. 8",,"Writ to the Sheriff of Kent for the election of two Knights of the Shire, and of Citizens and Burgesses of the Cities and Boroughs, to attend Parliament on 1st October, for the consideration of important matters concerning the defence of the Kingdom and of the Church of England; with the Return of Geoffrey Chaucer as one of the Knights.","Writs and Returns of Members of Parliament, Chancery, 10 Ric. II., (Kirk, 261-2).",,
vol1_p8_a1,Vol.1,p8,"1386, Oct. 5",,Lease to Richard Forster of the dwelling above Aldgate.,"City of London Records, Letter Book H, fol. 204 b (Kirk, 264).",,"[There is no referenco to Chaucer or his previous lease in this document, which was discovered by Prof. J. W. Hales; see Academy, Dec. 6, 1879, p. 410, and his Folia Litteraria, 1893, p. 87.]"
vol1_p8_a2,Vol.1,p8,"1386, Oct. 15",,"Testimony given by Geoffrey Chaucer, Esquire, in the Court of Chivalry, in the dispute as to the right to bear certain arms between Sir Richard le Scrope and Sir Robert Grosvenor, before Sir John de Derwentwater, in the Refectory of Westminster Abbey.","Chancery Miscellaneous Rolls, ed. Nicolas, bundle 10, no. 2 (Kirk, 264. Godwin, App. i. Nicolas, pp. 29-31).",,
vol1_p8_a3,Vol.1,p8,"1386, Nov. 28",,"Precept [to the Sheriff of Kent] for payment of the expenses of Chaucer and his colleague as Knights of the Shire in Parliament, viz. £24 9s. for 61 days.","Close Roll, 10 Ric. Il., m. 16 d (Kirk, 267).",,
vol1_p8_a4,Vol.1,p8,"1386, Dec. 4 and 14",,"Appointments of successors to Chaucer in the Controllership of the Customs and Petty Customs Patent Roll,","10 Ric. Il., p. 1, m. 10 and 4 (Kirk, 268).",,
