ID,Volume,Page,Date,Author,Title,Imprint,Quotation,headnote
vol1_p10_a5,Vol.1,p10-11,[1390],"Gower, John.",Confessio Amantis,"[first version]. Leave-taking of Venus. Lib. octavus, ll. 2941-57. (Works of John Gower, ed. G. C. Macaulay, 1899-1902, vol. iii, 1901, p. 466; for date and MSS. see introd., vol. ii).","And gret wel Chaucer whan ye mete,
As mi disciple and mi poete:
For in the floures of his youthe
In sondri wise, as he wel couthe,
Of Ditees and of Songes glade,
The whiche he for mi sake made,
The lond fulfild is oueral:
Whereof to him in special
Aboue alle othre I am most holde
For thi now in hise daies olde
Thow schalt him telle this message,
That he vpon his latere age,
To sette an ende of alle his werk
As he which is myn owne clerk,
Do make his testament of loue,
As thou hast do thi schrifte aboue
So that mi Court it mai recorde.","[This passage does not occur in any later versions of the Confessio. For the whole literature on the subject of the supposed quarrel between Gower and Chaucer, see Chaucer, a bibliographical manual, by E. P. Hammond, N. York, 1908, pp. 278-9. It is interesting to know that the 'Confessio' was translated into Portuguese, soon after it was written, by Robert Payn, Canon of Lisbon Cathedral, and then into Spanish (Castilian) proso by 'Juan de Cuenca, natural de Huete,' in 1400, whose version is MS g ii 19, in the Library of the Escorial, Madrid. The Chaucer greeting (Gower's Works, iii, 466 n, bk. viii, ll. 2941-56 ff.) runs thus: ""Saluda de mi parte a caucer, mi disciplo e mi poeta; quando con el topares, el qual por mi en la su mancibia fiso toda su diligencia para componer y escreuir desyres e cantares de diversas maneras de los quales toda la tierra es llena; por la qual cosa en especial le soy mucho tenido mas que a ninguno de los otros. Por ende dile que le enbio desir que tal esta en su postrimera hedad, por dar fyn a todas sus obras, se travaje de faser su testamento de amor, asi como tu has fecho agora en tu confision.""— Gower's Works, ed. Macaulay, ii, clxvii-viii. As the Queen of Portugal was Henry IV's sister, the presence of Robert Payn and other Englishmen in Portugal is easily understood. See History.... of Henry IV by J. H. Wylie, vol ii, 1894, p. 329 et seq.]"
vol1_p11_a1,Vol.1,p11,1390-1,,"Chaucer is appointed Sub-Forester of the Forest of North Petherton, by the Earl of March","(Kirk, 291). History and Antiquities of the County of Somerset, 1791, by John Collinson, vol. iii, pp. 54-74. See also W. D. Selby in the Athenœum, Nov. 20, 1886, pp. 672-3, also Life Records of Chaucer, III, pp. 117-23.",,"[Chaucer was re-appointed to this post in 21 Ric. II. [1397-8] by Alianor, Countess of March; see the authorities as above.]"
vol1_p11_a2,Vol.1,p11,"1391, Jan. 6",,"Writ discharging Chaucer, Clerk of the King's Works, from the repayment of the £20 of which he had been robbed near to the “fowle Ok"" on Sept. 3, 1390.","Exchequer Q. R. Memoranda Roll, Hilary, 14 Ric. II., Brevia, roll 20 (Kirk, 292, and Life Records, I, p. 12).",,
vol1_p11_a3,Vol.1,p11,"[1391, c. Jan. 20]",,"Bill for a Commission to John Elmhurst, as Deputy and Purveyor to Chaucer, Clerk of the Works, to take materials and workmen for the Palace of Westminster, and the Tower of London.","Warrants, Chancery, series I, file 1660 (Kirk, 292-3).",,
vol1_p11_a4,Vol.1,p11,"1391, Jan. 22",,"Appointment of John Elmhurst as Purveyor of the Works at Westminster and the Tower, under Chaucer....","Patent Roll, 14 Ric. Il, p. 2, m. 34 (Kirk, 293).",,
vol1_p11_a5,Vol.1,p11,"1391, Feb. 7",,"Mandate to the Exchequer, to allow to Chaucer, in his account, the wages of Richard Swift, Master Carpenter and ""Dispositor"" of the Kings Works.","Exchequer Q. R. Memoranda Roll, Hilary, 14 Ric. II., Brevia, roll 24 d (Kirk, 293-4).",,
vol1_p11_a6,Vol.1,p11,"1391, Feb. 23",,"Loan by the Exchequer to Richard Gille, merchant of London, of £533 2s., part of wich, £114, he repaid to Chaucer on 6th April.","Issue Roll, Mich., 14 Ric. II., m. 22 (Kirk, 294).",,
vol1_p11_a7,Vol.1,p11,"1391, April 6",,"Moneys assigned to Chaucer as Clerk of the Works; and entry of a loan by him of £66 13s. 4d. to the Exchequer, for which he received a tally.","Receipt Roll, Easter, 14 Ric. II. (Kirk, 294-5).",,
vol1_p11_a8,Vol.1,p11,"1391, April 12",,"Enrolment of the Indictment in the King's Bench of Richard Brerelay and others, for the robbery of Chaucer at Westminster on 6th Sept, 1390, etc.","Coram Rege Roll, Easter, 14 Ric. II. Rex, roll 1 (Kirk, 295).",,"[There are three further entries concerning this robbery (see abore under Jan. 6, 1391) on April 16 and May 31-June 22; (2) see the whole of Life Records of Chaucer, I, and IV. pp. 295-9.]"
vol1_p12_a1,Vol.1,p12,"1391, July 8",,"Chaucer's Account as Clerk of the Works at St. George's Chapel, Windsor, from July 12, 1390, to this date.","Exchequer L. T. R. Foreign Accounts, 14 Ric. Il., forula C (Kirk, 309, 310).",,
