ID,Volume,Part,Page,Date,Author,Title,Imprint,Quotation,Headnote
part2_p117_a2,Vol.2,Part II,p117-118,1819.,"Keats, John.",Letters.,"(The Complete Works of John Keats, ed. H. Buxton Forman, 1900-1, vol. v, pp. 31, 67, 93, 121, 133.)","[p. 31] [To George and Georgiana Keats. March, 1819.] Besides
this volume of Beaumont and Fletcher–there are on the
table two volumes of Chaucer.  ...
[p. 67] [To B. R. Haydon. June 17, 1819.] My purpose is now
to make one more attempt in the Press—if that fail, “ye hear
no more of me"" as Chaucer says.
[p. 98]
[To J. H. Reynolds. Sept. 22.] I always somehow associate
Chatterton with autumn.  ... He has no French idiom or
particles, like Chaucer.
[p. 121] [To George and Georgiana Keats. September 17.]... The
purest English, I think—or what ought to be the purest—is
Chatterton's. The language had existed long enough to be
entirely incorrupted of Chaucer’s Gallicisme, and still the old
words are used.
[p. 133] [To John Taylor. Nov. 17, 1819.] Wonders are no
wonders to me. I am more at home amongst Men and
women. I would rather read Chaucer than Ariosto.",
part2_p118_a1,Vol.2,Part II,p118,1819.,"Mitford, Mary Russell.","Letter from Miss Mitford to Sir William Elford, Jan. 9, 1819,","[in] The Life of Mary Russell Mitford, ed. Rev. A. G. L’Estrange, 1870, vol. ii, p. 49.","Considering my doleful prognostications, you will like to
know, my dear friend, that I have outlived the ball, so I
must write. It's a thing of necessity. Yes, I am living and
""lifelich,"" as Chaucer says.",
part2_p118_a2,Vol.2,Part II,p118,1819.,"Moore, Thomas.","Diary for April 14, 1819,","[in] Memoirs Journals and Correspondence of Thomas Moore, ed. by the Rt. Ilon. Lord John Russell, M.P., 8 vols., 1853-6, vol. ii, p. 290.","Walked to Bowood to see the Lansdownes... [Lord Lans¬
downe] told me that Murray had offered Stewart Rose £2,000
for a translation of ""Ariosto.""... We all acknowledged the
convenience of such a thing.  ... I could [not] sympathise
with the world in some of its admirations, but thought it
better to be silent in these cases, than risk an impeachment of
my own taste in questioning that of others. Chaucer, for
instance, in what terms some speak of him! while I confess I
find him unreadable. Lord L. said he was glad to hear me
say so, as he had always in silence felt the same.",
part2_p118_a3,Vol.2,Part II,p118,1819.,"Ormerod, George.","The History of the County Palatine and City of Chester,","3 vols., vol. iii, p. 84, and n.","[Chaucer and the Scrope-Grosvenor suit. The passage is
the same in the second edition of the book, revised by Thomas
Helsby, 1882, vol. iii, p. 146.]",
part2_p118_a4,Vol.2,Part II,p118-119,1819.,"Rees, Abraham.","The Cyclopœdia,","vol. vii, Chaucer, Geoffrey; vol. xxi, Lydgate, John.","[vol. vii] CHAUCER, Geoffrey... the earliest English classic poet...
[here follows life].  ... His works are numerous: his fame
ranks high as an original poet.  ... He enriched his native
language by new forms of diction and versification; but there
is nothing in which he excels his contemporaries more than in
possessing that true poetical character of which they were
almost wholly void.
In many of his tales are to be found fine figures and splendid
imagery displayed in glowing and elegant language...
The Canterbury Tales have been handsomely published by
Mr. Tyrwhitt... but the editions of Chaucer's other works
do no credit to the lovers of ancient English poetry.",
part2_p119_a1,Vol.2,Part II,p119,1819.,"[Reynolds, John Hamilton.]","Preface to Peter Bell, a Lyrical Ballad,",p. v.,"[Footnote.] A favourite flower of mine [i. e. the daisy]. It
was a favourite with Chaucer, but he did not understand its
moral mystery as I do.","[This travesty of Peter Bell was published anonymously before the actual appearance of Wordsworth's poem of that name; the above footnote was quoted in a review by John Keats, which appeared in the Examiner, April 25, 1819.]"
part2_p119_a2,Vol.2,Part II,p119,1819.,"Sanford, Ezekiel.",Select Poems of Geoffrey Chaucer.,"With a life of the author, by E. Sanford, [in] Works of the British Poets, Philadelphia, 1819-23, 50 vols., vol. i, Chaucer, etc., Preface, pp. vii-ix, Life and Poems, pp. 1-216, and vol. ii, pp. 7, 15.","[Vol. i contains a Life of Chaucer by Sanford, which con¬
sists largely of criticism, explicit or implicit, of Godwin and
other biographers of Chaucer for their guesses and irrelevancies.
The select poems are from the Canterbury Tales with the
Flower and Leaf. Gower, Skelton, Wyatt, Surrey and Gas¬
coigne complete the volume.]",
part2_p119_a3,Vol.2,Part II,p119,1819.,"Scott, Sir Walter.","The Bride of Lammermoor,","vol. i, ch. xi, p. 289. (Border Edition, ed. Andrew Lang, 1893, vol. i, ch. xii, p. 166.)","""Now dame,"" quoth he, ""Je vous dis sans doute
[Chapter heading.]
[and five following lines].
Chaucer, Sumner's Tale [ll. 130-5].",
part2_p119_a4,Vol.2,Part II,p119,1819.,"Scott, Sir Walter.",Ivanhoe.,"See above, 1817.",,
part2_p119_a5,Vol.2,Part II,p119-120,[1819?],Unknown.,"Childe Harold in the Shades, an infernal Romaunt.","[Not in B. M. The extract given below is taken from a review in The Gentleman's Magazine, April, 1819, vol. lxxxix, pp. 336-7.]","The Noble Shade... also vieweth the shades of Dr.
Johnson and Dan Chaucer...
The father of English Poetry is more kindly treated [than
Dr. Johnson]:
In antique vest arrayed stands Chaucer there,
Telling quaint stories to a listening throng;
Maid, widow, wife, old, young, ill-favoured, fair,
Cruel and yielding, in his motley song
Together flowed: unpolished, rough, but strong,
And full of fire the merry notes he used;
Rightly to him our earliest bays belong,
Though much by modern copyists abused,
Who imitate the faults the age in him excused.",
