ID,Volume,Page,Date,Date_certainty,Author,Title,Imprint,Quotation,headnote
part1_p57_a1,Vol.1,p57,[a. 1477],low,Unknown.,"The Book of Curtesye,","printed by William Caxton, 1477-8, fol. 163 b. (Ed. F. J. Furnivall, E. E. T. soc., 1868, pp. 34-5. Dr. Furnivall also printed 2 MS. copies of the same treatise, Oriel MS. 79, and Balliol MS. 354.)","(48)
O fader and founder of ornate eloquence
That enlumened hast alle our bretayne
To soone we loste / thy laureate scyence
O lusty Iyquour / of that fulsom fontayne
O cursid deth / why hast thow þᵗ poete slayne
I mene fader chaucer / maister galfryde
Alas the whyle / that euer he from vs dyde.
(49)
Redith his werkis / ful of plesaunce
Clere in sentence / in langage excellent
Briefly to wryte / suche was his suffysance
Whateuer to saye / he toke in his entente
His langage was so fayr and pertynente
It semeth vnto mannys heerynge
Not only the worde / but verely the thynge.
(50)
Redeth my chylde / redeth his bookes alle
Refuseth none / they ben expedyente
Sentence or langage / or bothe fynde ye shalle
Ful delectable / for that good fader mente
Of al his purpose / and his hole entente
How to plese in euery audyence
And in our tunge / was welle of eloquence.","[Speght quotes the first of the above three verses in Chaucer's Works, 1598, sign. cii, stating he 'found them in a book of Iohn Stowes called Little John.']"
part1_p57_a2,Vol.1,p57-58,[c. 1477],low,"Norton, Thomas,",The Ordinall of Alchimy.,"MSS. Harl. 853, No. 4, fol. 40b, Ashmole 57, p. 50. First printed (in Latin) in Michael Maier's Tripus Aureus, 1618, p. 120, (in English) in Elias Ashmole’s Theatrum Chemicum, 1652, cap. iii, p. 42 (cf. below 1577, Dr. John Dee, p. 114, and Ashmole, p. 227).","Hir name [a stone] is magnesia, fewe people hir knowe,
She is founde in hye places as well as in lowe
Plato knewe her propertie, and called hir by hir name,
and Chauser rehearseth how Titanos is the same.
In the Canon his tale, saynge what is thuse,
but quid ignotum per magis ignotius
that is to saye, what maie this be,
but unknowe by more unknowne named is she.",[This extract is given from the Harl. MS. c. 1600-20.].
part1_p58_a5,Vol.1,p58-59,[a. 1479],low,"Caxton, William.","Epilogue to Boethius de Consolacione
Philosophie,","fol. 93 b. (Reprinted in Life of Caxton, by William Blades, 1861-3, vol. i, pp. 151-2; cf. also vol. ii, pp. 66-71.)","...the worshipful fader & first foundeur & embelissher
of ornate eloquence in our englissh. I mene Maister Geffry
Chaucer hath translated this sayd werke oute of latyn in to
oure vsual and moder tongue... wherein in myne oppynyon
he hath deseruid a perpetuell lawde and thanke of al this
noble Royame of Englond....
And furthermore I desire & require you that of your charite
ye wold praye for the soule of the sayd worshipful man
Geffrey Chaucer first translatour of this sayd boke into englissh
& enbelissher in making the sayd langage ornate & fayr .
whiche shal endure perpetuelly . and therefore he ought
eternelly to be remembird . of whom the body and corps
lieth buried in thabbay of west-mestre beside london tofore
the chapele of seynte benet . by whos sepulture is wreton
on a table hongying on a pylere his Epitaphye maad by a
Poete laureat . Whereof the copye foloweth &c....","[Caxton here gives Surigo's epitaph; the last four lines Blades supposes may be Caxton's own; for these see next entry, below, p. 60. For the whole question of Chaucer's burial-place and tomb, and his re-interment by Brigham in 1555 or 1556, see Berthelet, 1532; Brigham, 1556; Bullein, 1564; Foxe, 1570; Camden, 1600; Stowe, 1600; Weever, 1681; Ashmole, 1652; Dart, 1728; below, pp. 78, 94, 98, 107, 163, 165, 204, 227, 363, also M. H. Bloxam in Archeological Journal, 1881, vol xxxviii, p. 361, Athenæum, Aug. 9, 1902, p. 189 (art. by J. W. Hales), Aug. 30, 1902, p. 288, Oct. 25, 1902, p. 552 (Mrs. C. C. Stopes), and Chaucer, a bibliogroplical manual, by E. P. Hammond, N. York, 1908, pp. 44-7.]"
part1_p59_a1,Vol.1,p59-60,[a. 1479],low,"Surigo, Stephen (lic. doct, of Milan).","Latin epitaph on Chaucer,","printed by Caxton at end of Boethius de Consolacione philosophie, fol. 94 and 94 b. (Life of Caxton by William Blades, 1861-3, vol. i, p. 152; and Chaucer's works, ed. W. Thynne, 1532, fol. 383.)","Epitaphium Galfridi Chaucer. per
poetam laureatum Stephanum surigonum
Mediolanensem in decretis licenciatum
Pyerides muse, si possunt numina fletus
Fundere . diuinas atque rigare genas,
Galfridi vatis chaucer crudelia fata
Plangite . sit lacrimis abstinuisse nephas
Vos coluit viuens . at vos celebrate sepultum
Reddatur merito gracia digna viro
Grande decus vobis . est docti musa maronis
Qua didicit melius lingua latina loqui
Grande nouumque decus Chaucer . famamque parauit
Heu quantum fuerat prisca britanna rudis
Reddidit insignem maternis versibus . vt iam
Aurea splendescat . ferrea facta prius
Hunc latuisse virum nil . si tot opuscula vertes
Dixeris . egregiis que decorata modis
Socratis ingenium . vel fontes philosophie
Quitquid & archani dogmata sacra ferunt
Et quascunque velis tenuit dignissimus artes
Hic vates . paruo conditus hoc tumulo
Ah laudis quantum preclara britannia perdis
Dum rapuit tantum mors odiosa virum
Crudeles parce . crudelia fila sorores
Non tamen extincto corpore . fama perit
Viuet ineternum . viuent dum scripta poete
Viuant eterno tot monimenta die
Si qua bonos tangit pietas . si carmine dignus
Carmina qui cecinit tot cumulata modis
Hec sibi marmoreo scribantur verba sepulchro
Hec maneat laudis sarcina summa sue
Galfridus Chaucer vates . et fama poesis
Materne . hac sacra sum tumulatus humo
Post obitum Caxton voluit te viuere cura
Willelmi. Chaucer clare poeta tuj
Nam tua non solum compressit opuscula formis
Has quoque sed laudes . iussit hic esse tuas","[This epitaph, though not by an Englishman, is given here because it is so constantly quoted, see, for example, below, p. 87, c. 1545, Leland; p. 78, 1532 Thynne; p. 186, a. 1613, Commaundre; 1598, Speght, Life of Chaucer, sign. c ii b and c iij, and note on p. 59 above.]"
part1_p60_a1,Vol.1,p60,1479,high,"Parmenter, John.",Will dated 17 Aug. 1479.,"Prerogative Court of Canterbury, Logge,f. 142. Item lego Waltero Nonne vnum librum vocatum Canterbury tales.","Item lego Waltero Nonne vnum librum vocatum Canterbury
tales.",[Parmenter was Commissary-General of Diocese of Canterbury.]
part1_p60_a2,Vol.1,p60,[1482?],low,"Paston, John.",Catalogue of John Paston’s books,"[in] The Paston letters. (Ed. Sir John Fenn, 1787, vol. ii, p. 300; ed. James Gairdner, 1872-5, vol. iii, 1875, p. 300.)","The Inventory off Englysshe Boks off John.... made the
v daye of Novembre, anno regni Regie E. iiij....
2. Item, a Boke of Troylus whyche William Bra....
hathe hadde neer x yer and lent it to Dame.... Wyng¬
felde and ibi ego vidi, valet.","[The Catalogue is very imperfect. It is written on a strip of paper about 17 inches long, and has been rolled up, so that some of the names have been nearly obliterated. The exact date is unknown, but it is not earlier than 1474, when ""The Game and Play of Chess"" (which is mentioned in the catalogue) issued from Caxton's press at Westminster.]"
part1_p61_a2,Vol.1,p61,[c. 1483].,low,"Caxton, William.",Epilogue to the Book of Fame.,"Emprynted by wylliam Caxton, sign. d 5. (Life of Caxton, by William Blades, 1861-3, vol. ii, pp. 165-7.)","I fynde no more of this werke to fore sayd / For as fer
as I can vnderstonde / This noble man Gefferey Chaucer
fynysshyd at the sayd conclusion of the metyng of lesyng
and sothsawe / whereas yet they be chekked and maye not
departe / whyche werke as me semeth is craftyly made / and
dygne to be vreton & knowen / For he towchyth in it ryght
grete wysedom & subtyll vnderstondyng / And so in alle
hys werkys excellyth in myn oppynyon alle other wryters
in our Englyssh / For he wrytteth no voyde wordes / but
alle hys mater is ful of hye and quycke sentence / to whom
ought to be gyuen laude and preysyng for hys noble makyng
and wrytyng / For of hym alle other haue borowed syth and
taken / in alle theyr wel sayeng and wrytyng / And I
humbly beseche & praye yow / emonge your prayers to remem¬
bre hys soule / on whyche and on alle crysten soulis I beseche
almyghty god to haue mercy Amen.","[See Blades, vol. ii, p. 166, and Chaucer's works, ed. W. W. Skeat, 1894, vol. iii, Notes to House of Fame, p. 287, for accounts of the lines Caxton added at the end of this poem.]"
part1_p61_a4,Vol.1,p61-63,[c. 1483?].,low,"Caxton, William.","Prohemye to Canterbury Tales (2nd
edn.),","sign. a ij and a ij b. (Life of Caxton, by William Blades, 1861-3, vol. i, pp. 173-4.)","[sign. a ¶ G.Rete thanks lawde and honour / ought to be gyuen
ij]
vnto the clerkes / poetes / and historiographs / that
haue wreton many noble bokes of wysedom of the lyues /
passions / & myracles of holy sayntes of hystoryes / of noble
and famous Actes / and faittes / And of the cronycles sith
the begynnyng of the creacion of the world / vnto thys
present tyme / by whyche we ben dayly enformed / and haue
knowleche of many thynges / of whom we shold not haue
knowen / yf they had not left to vs theyr monumentis wreton /
Emong whom and inespecial to fore alle other we ought to
gyue a synguler laude vnto that noble & grete philosopher
Gefferey chaucer the whiche for his ornate wrytyng in our
tongue maye wel haue the name of a laureate poete/. For to
fore that he by his labour enbelysshyd / ornated and / made
faire our englisshe / in thys Royame was had rude speche &
Incongrue / as yet it appiereth by olde bookes / whyche at thys
day ought not to haue place ne be compared emong ne to his
beauteuous volumes / and aournate [sic] writynges / of whom
he made many bokes and treatyces of many a noble historye
as wel in metre as in ryme and prose / and them so craftyly
made / that he comprehended hys maters in short / quyck
and hye sentences / eschewyng prolyxyte / castyng away
the chaf of superfluyte / and shewyng the pyked grayn of
sentence / vttered by crafty and sugred eloquence / of whom
emong all other of hys bokes / I purpose temprynte by the
grace of god the book of the tales of cauntyrburye / in whiche
I fynde many a noble hystorye of euery astate and degre /
Fyrst rehercyng the condicions / and tharraye of eche of
them as properly as possyble is to be sayd / And after theyr
tales whyche ben of noblesse / wysedom / gentylesse / Myrthe /
and also of veray holynesse and vertue / wherin he fynysshyth
thys sayd booke / whyche book I haue dylygently ouersen
and duly examyned to thende that it be made acordyng vnto
his owen makyng / For I fynde many of the sayd bookes /
whyche wryters haue abrydgyd it and many thynges left out /
And in some place haue sette certayn versys / that he neuer
made ne sette in hys booke / of whyche bookes so incorrecte
was one broughte to me vj yere passyd / whyche I supposed
had ben veray true & correcte / And accordyng to the same
[sign.a I dyde do emprynte a certayn nombre of them / whyche
ij b]
anon were sold to many and dyuerse gentyl men / of whom
one gentylman cam to me / and said that this book was
not accordyng in many places vnto the book that Gefferey
chaucer had made / To whom I answerd that I had made
it accordyng to my copye / and by me was nothyng added ne
mynusshyd / Thenne he sayd he knewe a book whyche hys
fader had and moche louyd / that was very trewe / and
accordyng vnto hys owen first book by hym made / and
sayd more yf I wold enprynte it agayn he wold gete me the
same book for a copye /  how be it he wyst wel / that hys
fader wold not gladly departe fro it / To whom I said / in
caas that he coude gete me suche a book trewe and correcte /
yet I wold ones endeuoyre me to enprynte it agayn / for to
satysfye thauctor / where as to fore by ygnouraunce I erryd in
hurtyng and dyffamyng his book in dyuerce places in settyng
in some thynges that he neuer sayd ne made / and leuyng
out many thynges that he made whyche ben requysite to be
sette in it / And thus we fyll at accord / And he ful gentylly
gate of hys fader the said book / and delyuerd it to me / by
whiche I have corrected my book / as here after alle alonge
by thayde of almyghty god shal folowe / whom I humbly
beseche to gyue me grace and ayde to achyeue / and accom¬
plysshe / to hys lawde honour and glorye / and that alle ye
that shal in thys book rede or heere / wyll of your charyte
emong your dedes of mercy / remembre the sowle of the
sayd Gefferey chaucer first auctour / and maker of thys
book / And also that alle we that shal see and rede therin /
may so take and vnderstonde the good and vertuous tales /
that it may so prouffyte / vnto the helthe of our sowles / that
after thys short and transitorye Iyf we may come to euer¬
lastyng lyf in heuen/. Amen.
By Wylliam Caxton.",
part1_p63_a1,Vol.1,p63-64,[c. 1488],low,Unknown.,Colophons,"in MS. Arch. Selden B. 24, ff. 119-20, 129-31, 136-8, 152, 187, 191. (The authorship of the Kingis Quair, by J. T. T. Brown, 1896, pp. 72-5. The colophons below are printed from this book, and not from the MS.)","[fol. 119, p. 72] Flee from the press and duell with suthfastness
. . . . . . . .
Explicit Chauceres counsailing.
[fol. 119, p. 73] Richt as pouert causith sobirness
. . . . . .
Quod Chaucere
[Poem by J. Walton in his translation of Boethius de Conzolatione. See above, p. 20.]
[fol. 119 b] Deuise proues and eke humylitee
. . . . . .
[fol. 120] Quod Chaucere quhen he was ryght auisit
[Not Chancer's; see Chaucer's minor poems (vol. i of works), ed. W. W. Skeat,
1894, p. 47.]
[fol. 120 b] In May quhan Flora the fresche lusty quene
. . . . . .
[fol. 129 b] Here endith the maying aud disport of Chaucere.
[Lydgate’s Complaint of the Black Knight, 1402-3, p. 16, above, q. v.]
[fol. 130] Moder of God and virgyne undefouled.
[fol. 131 b] Explicit oracio Galfridi Chaucere.
. . . . . .
[Hoccleve.]
[fol. 136] The compleynt of Venus folowith.
[fol. 137] Off Gransoun the best that makith france
. . . . . .
Quod Galfridus Chaucere.
[fol. 137 b] Of hie Emperice and quene celestial.
[fol 138] Eternaly abuse all erdly wight.
. . . . . .
[Not Chaucer's. See  Skeat, as above.]
Quod Chaucere.
[fol. 138 b, p. 74] The Lord of loue crie benedicitee.
[fol. 152] Here endis the parliament of foulis
. . . . . .
. . . . . .
Quod Galfride Chaucere
[fol. 187, p. 75] I proue as wele as by autoritee.
. . . . .
[fol 191 b] And thus ended Chaucere the legendis of ladyis.",
part1_p64_a1,Vol.1,p64,1490,high,"Irlandia, John de.",Colophon,"at the end of 2nd book of MS. 18. 2. 8, Advocates' library Edin., immediately before Chaucer's poem ""Mother of God."" At the beginning of the whole work is ""Johannis de Irlandia, Opera Theologica, 1490."" (See Paralleltext of Chaucer's minor poems, ed. F. J. Furnivall, Chaucer soc. [1871] etc., p. 144.)","And sene I haue spokin samekle of this noble and haly
virgin I will in the end of þis buk writ ane orisoune þat
Galfryde Chauceir maid and prayit to þis lady And thoᵗ I be
noᵗ Eloquent in þis tovng as was þat noble poet I wil writ her
twa orisouns in lattin that I maid of þis noble and excellent
lady and send furth of parice with a buk that I maid of hir
concepcioun to þi fader of gud mynd The first is of þe gret
honoᴿ and dignite of þis lady And the second is of hir noble
and haly byrth of hir blist son Ihsus.",[Two Latin Orisons here follow.]
