ID,Volume,Part,Page,Date,Author,Title,Imprint,Quotation,Headnotes
part3_p74_a2,Vol.2,part III,p74-75,1864.,"Ruskin, John.","Sesame and Lilies,","Lecture ii, Of Queen's Gardens. [Delivered 14 Dec., 1864,] 1st vol. ed., 1865, p. 138. (Works, ed. E. T. Cook and A. Wedderburn, 1903-12, 39 vols., vol. xviii, pp. 118-19.)","Now I could multiply witness upon witness of this kind
[of the queenly power of women] upon you if I had time.
I would take Chaucer and show you why he wrote a Legend
of Good Women; but no Legend of Good Men.",
part3_p75_a1,Vol.2,part III,p75,1864.,"Tennyson, Alfred, Lord.","Letter to the Duke of Argyll,","[printed in] Tennyson; a Memoir by his Son, 1897, 2 vols, vol. ii, p. 3.","One cannot exactly say of him [Garibaldi] what Chaucer
says of the ideal knight, ""As meke he was of port as is a
maid."" He is more majestic than meek.","[Tennyson enjoyed reading Chaucer aloud more than any poet except Shakespeare and Milton. See Tennyson: a Memoir, vol. ii, pp. 83, 284.]"
part3_p75_a2,Vol.2,part III,p75,1864,"Wright, William Aldis.",,"See above, Works.",,
part3_p75_a3,Vol.2,part III,p75,1865.,"Bradshaw, Henry.","[Advertisement of] An Attempt to Ascertain the State of Chaucer's Works, as they were left at his death, with some notices of their subsequent history.",,"[The advertisement, inserted by Macmillan on the front page
of Notes and Queries, Aug. 12, 1865, begins with the words
""Shortly will be published,"" but Bradshaw did not advance
far into the work, of which only the introductory pages were
found after his death. The Skeleton of Chaucer's Canterbury
Tales summed up his results; see below, 1867.]",
part3_p75_a4,Vol.2,part III,p75,1865.,"Burne-Jones, Sir Edward Coley.",Chaucer's Dream.,,"[A water-colour, illustrating the non-Chaucerian Isle of
Ladies. Burne-Jones painted a larger and much altered
version in 1871. For other Chaucerian subjects painted by
him see above, 1858, 1861, 1862, 1864. He also painted, in
1874 and succeeding years, a series of scenes from the
Romaunt of the Rose. See M. Bell, Sir E. Burne-Jones, 1899,
and O. G. Destrée, Les Préraphaélites [1895].]",
part3_p75_a5,Vol.2,part III,p75-76,1865.,"Collier, John Payne.","A Bibliographical and Critical Account of the Rarest Books in the English Language,","vol. i, pp. viii*, xii*, xli*, xliv*, 87, 97-8, 128-9, 147, 191, 200, 227, 255, 267, 280, 338, 400, 526; vol. ii, pp. 92, 101-2, 145, 178, 183, 238, 295, 378, 418, 424, 427-8, 440, 464, 477, 485-6, 546.","[Editions of Chaucer and allusions to him in old literature.]
[p. xli*] We do not know that it has been observed upon, but it is a
fact, that no less a poet than Chaucer was the earliest intro¬
ducer of classical measures into our language. He commences
his prose version of Boethius with these two hexameter
lines ...
""Alas, I wepyng am constrayned to begin verse of sorowful
mater,
That whilom in flourisshyng studye made delytable verses.""",
part3_p76_a1,Vol.2,part III,p76,1865.,"Furnivall, Frederick James.","The Wright's Chaste Wife,","by Adam of Cobsam, ed. F. J. Furnivall, E.E.T.S., Preface, p. vii.","Would that we knew as much of Adam of Cobsam as of
our White-Rose king. He must have been one of the Chaucer
breed. ...
[To this a footnote was added in ed. 2, 1869, on Chaucer's
Carpenter and the Milleres T.]",
part3_p76_a2,Vol.2,part III,p76,1865.,"[Furnivall, Frederick James?]","[Article in] The Reader,","May 27, 1865, p. 598.","[No thorough testing of Chaucer MSS. ever yet carried out.]
It may be that a further testing of the two texts [the Harleian,
used by Wright, and the Ellesmere] will establish the supe¬
riority of the ""Ellesmere"" MS. in readings, though it is later
in date, and may necessitate its being taken as the basis of the
new Oxford edition, should the University Press proposal for
one ever be carried into effect. ... It is clear to any eye that
these illustrations [i. e. those of the Ellesmere MS.] are much
later than the MS. (which is about 1430 A.D.) ... and have
thus unfortunately thrown discredit on the MS. itself. On
the question of which of the two schemes—Professor Child’s,
of printing the six or eight texts, or the Oxford one, of print¬
ing one and collating the others—is the more deserving of
support, we can only say that we wish well to both,
though we fear the Oxford one, if carried out first, might
prevent the success of Professor Child’s. The true way would
be for the Oxford Press delegates to take both schemes in
hand, to print the six or eight texts as material for their
editor, or better, their editors, and then issue their one text,
without collations, which are always a bother. ... They
would be producing a book worthy of their own reputation,
and of our own bright poet of the dawn.",
part3_p77_a1,Vol.2,part III,p77,1865.,"Furnivall, Frederick James.","Chaucer and Arthur,","[review of Thynne's Animadversions, ed. Kingsley, and Morte Arthure, ed. Perry (E.E.T.S.), in] The Reader, 18 November, 1865, pp. 565-6.","We put Chaucer before Arthur, for we care more about
him; the more we read him the more we love him, sunning
ourselves in the bright sheen of his humour, and sniffing the
fragrance of his verse, as on a bright spring day on his own
Kent downs. The old man is the foremost and most
glowing figure of all the troop of our early writers; and,
of all, he is the one we can take closest home to ourselves,
for he has written himself in his books, if ever writer has,
and we know the man from soul to skin.",
part3_p77_a2,Vol.2,part III,p77,1865.,"Hook, Walter Farquhar.","Lives of the Archbishops of Canterbury,","1860-76, 12 vols., vol. iii, 1865, pp. 37n., 40-1, 47, 67, 69n.","[p. 67] [Against Chaucer's evidence of the demoralisation of the
clergy of his time must be set his picture of a parish priest.]
[p. 69] [Identification of Chaucer's good priest with Wyclif im¬
possible; if intended by Chaucer, it must have been as a
masked sarcasm. Robert Bell quoted. Further improbability
""that the gay and licentious poet should have been intimate
with the reformer.""]",
part3_p77_a3,Vol.2,part III,p77-78,1865.,"Kingsley, George Henry.",Chaucer. Animaduersions . . . by Francis Thynne ...,"edited by G. H. Kingsley, Early English Text Soc., pp. iv, vi, viii, ix, xi, xii.","[p. xi] The old story of Chaucer's having been fined for beating
a Franciscan friar in Fleet Street is doubted by Thynne,
though hardly, I think, on sufficient grounds. Tradition
(when it agrees with our own views) is not lightly to be
disturbed, and remembering with what more than feminine
powers of invective ""spiritual"" men seem to be not unfre¬
quently endowed, and also how atrociously insolent a Fran¬
ciscan friar would be likely to be (of course from the best
motives) to a man like Chaucer, who had burnt into the
very soul of monasticism with the caustic of his wit, I shall
continue to believe the legend for the present. If the
mediæval Italians are to be believed, the cudgelling of a friar
was occasionally thought necessary even by the most faithful,
and I see no reason why hale Dan Chaucer should not have
lost his temper on sufficient provocation.
strong denunciation of the reviewer by Furnivall in The
[A review of Kingsley in the Saturday Review led to a
Reader, Feb. 3, 1866, q.v. below. The second edition, 1875,
edited by F. J. Furnivall, with a new preface by Kings¬
ley, and hindwords by Furnivall, contains other Chaucer
references.]",
part3_p78_a1,Vol.2,part III,p78,1865.,"Laing, David.","The Poems and Fables of Robert Henryson,","ed. David Laing, pp. xix, xxi-ii, xxv-ix [The Testament of Cresseid and Chaucer's Troilus. Also numerous references to Chaucer, chiefly quotations from Chalmers, in the notes.]",,
part3_p78_a2,Vol.2,part III,p78-79,1865.,"Maurice, Frederick Denison.","On Books,","printed in] The Friendship of Books and other Lectures, 1874, pp. 76-7.","[pp. 76- Chaucer was possibly the friend of Wycliffe—certainly
7]
shared many of his sympathies and antipathies. He loved
the priest, or, as he was called, the secular priest, who went
among the people, and cared for them as his fellow-country-
men; he intensely disliked the friars, who flattered them and
cursed them, and in both ways governed them and degraded
them. His education had been different from Wycliffe's, his
early poetical powers had been called forth by the ladies and
gentlemen of the court. He mingled much French with his
speech, as they did; he acquired from them a kind of
acquaintance with life which Wycliffe could not obtain in
the Oxford schools. Had he remained under their influence
he might have been merely a very musical court singer; but
he entered into fellowship with common citizens. He became
a keen observer of all the different forms of life and society
in his time—a keen observer, and, as all such are, genial,
friendly, humorous, able to understand men about him by
sympathising with them, able to understand the stories of the
past by his experience of the present. Without being a
reformer like Wycliffe, he helped forward the Reformation
by making men acquainted with themselves and their fellows,
by stripping off disguises, and by teaching them to open
their eyes to the beautiful world which lay about them.
Chaucer is the genuine specimen of an English poet—a type
of the best who were to come after him; with cordial affection
for men and for nature; often tempted to coarseness, often
yielding to his baser nature in his desire to enter into all the
different experiences of men; apt through this desire, and
through his hatred of what was insincere, to say many things
of which he had need to repent, and of which he did repent;
but never losing his loyalty to what was pure, his reverence
for what was divine. ... The English books which live
through ages are those which connect themselves with human
life and action. His other poems, though graceful and
harmonious, are only remembered, because in his ""Canter-
bury Tales"" he has come directly into contact with the
hearts and thoughts, the sufferings and sins, of men and
women, and has given the clearest pictures we possess of all
the distinctions and occupations in his own day.",
part3_p7_a1,Vol.2,part III,p7,1851.,"Turner, Thomas Hudson.","Some Account of Domestic Architecture in England from the Conquest to the End of the Thirteenth Century,","Oxford, 1851, pp. 122, 146. [For the continuation of this work, by J. H. Parker, see below, 1853.]","[p. 122] Perhaps the earliest [hostel or tavern] in London was the
Saracen's Head in Friday Street, Chepeside, where Chaucer,
in his youth, saw the Grosvenor arms hanging out; the poet
did not make his acquaintance with the Tabard in Southwark
till a later date.",
part3_p7_a2,Vol.2,part III,p7,1851.,Unknown.,"Review of Wright's Canterbury Tales,","vol iii, [in] The Athenæum, March 15, 1851, pp. 294-5.","[A long review, praising Wright’s principle of printing from
a single MS. and giving the variations of others; surprise is
expressed that he had not used the Ellesmere MS., and hope
that he would add the other poems, a glossary, and a bio¬
graphy which should, without being diffuse like Godwin's,
contain the new facts which have come to light since Nicolas
published his.]",
part3_p80_a1,Vol.2,part III,p80-81,1865.,"Ruskin, John.","The Cestus of Aglaia,","Chapter iii, Patience. [in] The Art Journal, April, 1865, vol. iv, pp. 101-2; [revised and enlarged in] On the Old Road, 1885, vol. i, pt. ii, pp. 468, 471-2. (Works, ed. E. T. Cook and A. Wedderburn, 1903-12, 39 vols., vol. xix, pp. 82-6.)","[p. 82]
""Dame Paciencë sitting there I fonde,
With facë pale, upon an hill of sonde.""
[Parlement of Foules, ll. 242-3.]
[p. 84] I should like truly to know what Chaucer means
by his sand-hill. ... Sometimes I would fain have it to
mean the ghostly sand of the horologe of the world. ...
Sometimes I like to think that she is seated on the sand
because she is herself the Spirit of Staying, and victor over
all things that pass and change. ... And sometimes I
think, though I do not like to think (neither did Chaucer
mean this, for he always meant the lovely thing first, not
the low one), that she is seated on her sand-heap as the
only treasure to be gained by human toil. ...
But of course it does not in the least matter what it
means. All that matters specially to us in Chaucer's vision,
is that, next to Patience (as the reader will find by looking
at the context in the Assembly of Foules), were ""Beheste""
and ""Art"";—Promise, that is, and Art: and that although
these visionary powers are here waiting only in one of the
outer courts of Love, and the intended patience is here only
the long-suffering of love; and the intended beheste, its
promise; and the intended art, its cunning,—the same powers
companion each other necessarily in the courts and ante¬
chambers of every triumphal home of man.",
part3_p82_a1,Vol.2,part III,p82,1866.,"Arnold, Matthew.","The Study of Celtic Literature,","part iv, [in] The Cornhill Magazine, May 1866, p. 541, and July 1866, p. 113. (Works, 1903-4, 15 vols., vol. v, p. 79.)","German schools have the good habit of reading and com¬
menting on German poetry, as we read and comment on
Homer and Virgil, but do not read and comment on Chaucer
and Shakespeare.",
part3_p82_a2,Vol.2,part III,p82,1866.,"Bond, Sir Edward Augustus.","New Facts in the Life of Geoffrey Chaucer,","[in] The Fortnightly Review, Aug., 1866, vol. vi, pp. 28-35.","[Essay on the two parchment leaves which had been pasted
down to the covers of MS. Add. 18,632, and were found to
be fragments of the Household Accounts of the Duchess of
Clarence. The name of Geoffrey Chaucer is met with three
times, the period covered being the regnal years 30, 31, 32,
and 33—evidently of Edward III.—corresponding with the
years 1356 to 1359. The record shows that Chaucer, at the
outset of his career, was closely connected with the court and
its functions. See above, vol. i, p. 1.]",
part3_p82_a3,Vol.2,part III,p82,1866.,"Chatelain, Jean Baptiste François Ernest de.","L’Hostellerie du Tabard,","1866, [in] A travers Champs, London, 1867.",,"[The Chevaller de Chatelain lived and wrote in England; this poem is noticed in Notes and Queries, March 16, 1867, 3rd ser., vol. xi, p. 227.]"
part3_p82_a4,Vol.2,part III,p82,1866.,"Dickens, Charles.","Letter to Sir James Emerson Tennent,","[dated] Aug. 20th, 1866, [in] Letters of Charles Dickens, 1880-2[1879-81], 3 vols., vol. ii, pp. 259-60.","Chaucer certainly meant the Pardonere to be a humbug,
living on the credulity of the people. After describing the
sham reliques [sic] he carried, he says:
But with these relikes whawne [sic] that he found
[and five following lines.]
And the worthy Watts (founder of the charity [the Refuge for
Poor Travellers]) may have had these very lines in his mind
when he excluded such a man.",
part3_p82_a5,Vol.2,part III,p82,1866.,"Eastwood, Jonathan, and Wright, William Aldis.",The Bible Word-Book.,,"[Many quotations from Chaucer or poems then
attributed to him.]",
part3_p83_a1,Vol.2,part III,p83,1866.,"Green, Henry.","Obsolete Words in Whitney, with parallels chiefly from Chaucer, Spenser and Shakespeare,","[in] Whitney’s ""Choice of Emblems"" (1586) . . . ed. H. Green, pp. 253-65.","create (= created), deface, defame, fardle, feare (= terrify),
[Agaste, amisse, annoy, bale, bane, boorde, carle, carpes,
fonde, gate, let, mislike, moe, mowes, newfanglenes, nones,
pill, roome, shamefastnes, sield (= happy), sithe, stithe, teene,
unrest, ure, wonne, worlde.]",
part3_p83_a2,Vol.2,part III,p83,1866.,"Hazlitt, William Carew.",Remains of the Early Popular Poetry of England ...,"edited . . . by W. C. Hazlitt (Library of Old Authors), 4 vols., 1864-6, vol. iii, 1866, pp. 98-9 [Introduction to The Mylner of Abington].","[p. 99] In an artistic and constructive point of view, the Mylner of
Abington is superior to its predecessor [Chaucer's Reves
Tale), and while it is quite as entertaining, it is much less
gross.","[J. R. Lowell singled out this judgment as evidence that Hazlitt was ""an editor without taste, discrimination or learning."" (Review of the Library of Old Authors, in Works, Riveraide Edn., 1890, 11 vols., vol. i, p. 320.)]"
