ID,Volume,Part,Page,Date,Author,Title,Imprint,Quotation,Headnotes
part3_p67_a3,Vol.2,part III,p67,1863-64.,"Chambers, Robert.","The Book of Days,","a Miscellany of Popular Antiquities in connection with the Calendar, edited by R. Chambers, 2 vols ; vol. i, 1863, pp. 53, 220, 339, 472; vol ii, 1864, pp. 493-4.","[vol. i,
p. 58]
[Chaucer's allusion to the Man in the Moon, Troilus, i,
1024.]
[p. 220] In the middle ages, solemn betrothal by means of the
ring often preceded matrimony, and was sometimes adopted
between lovers who were about to separate for long
periods. Chaucer, in his Troilus and Cresseide, describes the
heroine as giving her lover a ring, upon which a love-motto
was engraved, and receiving one from him in return.
[p. 472] [Reference made to Chaucer being often called poet¬
laureate, to the offices held by him, and to several curious
grants of which he was the recipient.]
[vol. ii,
[p. 493-4] [Biographical notice.]",
part3_p68_a1,Vol.2,part III,p68-69,1863.,"Landor, Walter Savage.","Heroic Idylla, with additional Poems,","pp. 142-3, 181, 224, 270.","TO CHAUCER.
[p. 142]
Chaucer, O how I wish thou wert
Alive and, as of yore, alert!
Then, after bandied tales, what fun
Would we two have with monk and nun.
Ah, surely verse was never meant
To render mortals somnolent.
In Spenser’s labyrinthine rhymes
I throw my arms o’erhead at times,
Opening sonorous mouth as wide
As oyster shells at ebb of tide...
No bodyless and soulless elves
I seek, but creatures like ourselves...
Thou wast content to act the squire
Becomingly, and mount no higher,
Nay, at fit season to descend
Into the poet with a friend,
Then ride with him about the land
In lithesome nut-brown boots well tann'd...
The lesser Angels now have smiled
To see thee frolic like a child,
And hear thee, innocent as they,
Provoke them to come down and play.
[SQUIBS, CRACKERS, SERPENTS, etc...]
I leaving good old Homer, not o’erlong,
Enjoy the merriment of Chaucer's tales.
[WRONGS HAVE I SUFFERED...]
Wrongs have I suffered, great and many,
Insufferable never any
Like that prepensely murderous one
An Oxford hang-dog rogue has done,
Who shoved me on a bench with men
Biting the point of Chaucer's pen.
Chaucer I always loved, for he
Led me to woo fair Poesie.
He of our craft the worthy foreman
Stood gallantly against the Norman,
[p. 181]
[p. 224]
And in good humour tried to teach
Reluctant churls our native speech.
Now I must mount my cob and hurry
To join his friends at Canterbury,
A truly English merry party,
Tho' none so jocular and hearty.
[James Pycroft's Ways and Works of Men of Letters, 1861, pp. 79, 379, in here
referred to. See above, 1861, Landor.]
[p. 270] ON THE WIDOW'S ORDEAL, BY WASHINGTON IRVING.
Chaucer I fancied had been dead
Some centuries, some four or five;
By fancy I have been misled
Like many; he is yet alive.
The Widow's Ordeal who beside
Could thus relate? Yes, there is one,
He bears beyond the Atlantic wide
The glorious name of Washington.",
part3_p71_a1,Vol.2,part III,p71-72,1864.,"Chaucer, Geoffrey.",Works.,[Projected editions.],"[In 1864 Professor Earle, W. Aldis Wright and Henry
Bradshaw undertook to edit for the Clarendon Press a standard
library edition of Chaucer. Work on it was in progress in
1866 and 1867. In 1870 Professor Earle gave up the editor¬
ship-in-chief, and, after refusals by Aldis Wright and Skeat,
Bradshaw accepted it, but soon found that he had not the
time.
Also in 1864 Alexander Macmillan proposed to Bradshaw a
small edition in the Globe series. So late as 1879, in con¬
junction with Furnivall, Bradshaw had some specimen pages
printed, but no more came of it. See for these schemes,
G. W. Prothero, A Memoir of Henry Bradshaw, 1888, pp.
108-9, 223-5, and, for Bradshaw’s Chaucer studies in general,
ib., pp. 14, 122, 143, 212-23.]",
part3_p72_a1,Vol.2,part III,p72,1864.,"Chaucer, Geoffrey.",The Prologue to the Legend of Good Women.,"[The text of the earlier version, privately printed from the Cambridge MS. for Henry Bradshaw. See Hammond, Chaucer, p. 381. No copy in B.M. or University Library, Cambridge.]",,
part3_p72_a2,Vol.2,part III,p72,1864.,"Bradshaw, Henry.",,"See above, Works, and The Prologue to the Legend of Good Women.",,
part3_p72_a3,Vol.2,part III,p72,1864.,"Burne-Jones, Sir Edward Coley.",The Dream of Good Women.,,"[A stained glass window, at Peterhouse, Cambridge.]",
part3_p72_a4,Vol.2,part III,p72,1864.,"Dickens, Charles.","Our Mutual Friend,","2 vols., 1864-6, vol. i, chap. iii, x, pp. 13, 89. (Works, Gadshill edition [1897-1908], 36 vols., vol. xxiii, pp. 21, 145.)","[p. 21] Mortimer looked at the boy, and the boy looked at the
bran-new pilgrims on the wall, going to Canterbury in more
gold frame than procession, and more carving than country.
[p. 145] Veneering shoots out of the study wherein he is accus¬
tomed, when contemplative, to give his mind to the carving
and gilding of the Pilgrims going to Canterbury [i. e. probably
the print after Stothard].",
part3_p72_a5,Vol.2,part III,p72,1864.,"Earle, John.",,"See above, Works.",,
part3_p72_a6,Vol.2,part III,p72,1864-7.,"Morley, Henry.","English Writers,","vol. i, pp. 21-2 [Chaucer's debt to Italy], 771-5 [his debt to France; his life, without the apocryphal episodes, the Testament of Love being treated as a genuine but purely imaginative work]; vol. ii, pp. 1-5 [Chaucer the first fully English writer]; 39-43 [Petrarch and Boccaccio]; 66-9, 107-8, 135-6, 138-9 [Gower]; 140-338 [chapters iv-vii, devoted to Chaucer; p. 140, his character sociable and free from bitterness; pp. 141-65, his life; The Court of Love treated as genuine; pp. 165-335, his works described and analysed in a chronological order (Troilus being compared at some length with the Filostrato, and Chaucer's refinements on Boccaccio pointed out, pp. 237-43); pp. 335-6, cause of his greatness; pp. 336-7, his verse regular; pp. 337-8, his English]; 425, 429-32 [Lydgate]; 434 [Occleve].","[In the revised and enlarged edn., 11 vols., 1887-95, chapters
vi-xiii, pp. 83-347, of vol. v (1890) are devoted to Chaucer; many
brief passages relating to him are scattered up and down the whole
work.]",
part3_p73_a1,Vol.2,part III,p73,1864.,"O'Hagan, John.","Chaucer,","[in] The Afternoon Lectures on Literature and Art, delivered in the Theatre of the Museum of Industry, St. Stephen’s Green, Dublin, 1863-9, 5 series, ser. ii, 1864, pp. 247-77.","[pp. 247- [Chaucer's language having very soon become obsolete, he
50]
never could nor can be a popular favourite; even Dryden's
[pp.250- excellent imitations are as much Dryden as Chaucer. Chaucer's
53]
life, with no mention of the Testament of Love or the episodes
[pp. 253- founded on it. His versification; the final vowel and the
4]
[pp.254- French element in the pronunciation. The Court of Love
7]
'Chaucer's earliest work.' The Canterbury Tales; the
[pp. 257-
77]
characters and their stories. Chaucer's coarseness inexcusable
and also dramatically inartistic. His vivid pictures of society
in the fourteenth century.]",
