ID,Volume,Part,Page,Date,Author,Title,Imprint,Quotation,Headnote
part3_p121_a1,Vol.2,part III,p121,1876.,"Haweis, Mary Eliza.",Chaucer for Children,"... illustrated with eight coloured pictures, and numerous woodcuts by the Author, 1877.","[With a preface ""To the Mother"" on the reading and
pronunciation of Chaucer, followed by a biographical sketch,
""Chaucer the Tale Teller."" Abridged stories from Prol.,
Knightes, Friers, Clerkes, Frankeleyns and Pardoneres Tales,
Complaint to his Purse, Two Rondeaux (Your yën two and
Sin I fro Love), Virelai and Good Counsel, follow in original
and modernised form with connecting summary.]",[Published late in 1876.]
part3_p121_a2,Vol.2,part III,p121,1876.,"Minto, William.","Chaucer,","[in] Encyclopædia Britannica, ninth edition. See above, 1778, Unknown, vol. i, p. 452.",,
part3_p121_a3,Vol.2,part III,p121,1877.,"Fleay, F. G.",Guide to Chaucer and Spenser.,[One of Collins' School and College Classics.],"[The section given to Chaucer occupies pp. 1-72, and in
this short space is contained a summary of the latest critical
knowledge of his life, sources, language, works and their
chronology, arrangement of the Tales (in two days instead of
four), etc. Fleay rejects the rhyme-test of y, ye, and the
conclusions as to authenticity of poems founded on it,
retaining e. g. 'Chaucer’s Dream' (the Isle of Ladies), and also
disbelieves in Chaucer’s early unhappy love, interpreting his
'sickness' as married life.]
[p. 10] Of the practicability of acquiring it [a sound acquaintance
with Chaucer] at the age of thirteen or thereabouts, I have
had many proofs among my own pupils, from the time when
I first introduced English literature as a specific subject of
education in our grammar schools, now twenty years ago.
The methods I was then almost, if not quite, alone in using,
are now in general practice.",
part3_p121_a4,Vol.2,part III,p121-122,1877.,"Green, John Richard.","Letters to Dr. F. J. Furnivall,","[the first undated, the second dated] March 12, 1877 [in the possession of Mr. Percy Furnivall].","[1] Anent the Chaucer, I hope our talk cleared your mind
into hopefulness and a practical view of things. What we
really want ('we' being the would-be-intelligent-readers-of-
Chaucer) is simply (1) Sketch of Early English poetry afore
him to bring out the great step he made. (2) His life
with what pictures of men’s ways and manners in his day
you like. (3) An account of his poems one by one in as
chronological an order as is possible, what each is, whence
it came, peculiarities of it, necessary information about it,
and the like. (4) If you like, a chapter on Chaucer influence
on later poetry—And (5) another on Chaucer bibliography.
These are what occur to me. You may perhaps think
of other fitting topics. But anyhow—if you will do a
Division-Sum, and divide 140 pages by the various topics
to be thus treated—you will see how briefly and simply
each will have to be treated—and how simple and easy your
work would be. Do the Life first, in 30 pages or so—then the
series of works—and leave the head and tail of the book
till the last. But do write it.
[2] I am as hungry as ever for your 'Chaucer.' Do let
me have it.","[The book on Chaucer referred to was to form one of the series of primers brought out by Green; the Chaucer one was eventually written, in 1893 (q.v. below), by A. W. Pollard.]"
part3_p122_a1,Vol.2,part III,p122,1877.,"Meredith, George.","On the Idea of Comedy, and of the Uses of the Comic Spirit,","[in] The New Quarterly Magazine, vol. viii, April, 1877, p. 35. (Works, 1897-8, 34 vols., vol. xxxii, p. 72.)","The Comic spirit is not hostile to the sweetest songfully
poetic. Chaucer bubbles with it: Shakespeare overflows.",
part3_p122_a2,Vol.2,part III,p122-123,1877.,Unknown.,"Chaucer's Love-Poetry,","[in] the Cornhill Magazine, March 1877, vol. XXXV, pp. 280-97.","[p. 281] Before going further, it may be as well to point out how
very small a portion of Chaucer's work decides the special
impression of him which now is historically transmitted from
generation to generation.
If it were possible to take away only a little more than a
tenth part of the poet’s voluminous writings, there would be
left a mass of outlandish recital having nothing whatever to
do with anything we now know of English tastes. Instead
of appearing a broad humourist, with an overpowering love of
nature, painting persons and scenes with exact reality, there
would then seem to be no English poet so artificial, so
romantic, so lackadaisical as Chaucer. The truth is, that the
literary associations for which the mention of his name is the
cue, belong to the Canterbury Tales only. ... If the match¬
less Introduction had not been written, or had been different,
and if he had not included in the list two or three of the
stories, or not given prologues to the others, Chaucer could
not have survived in our literature. Of course there is a
historical explanation for it all. ... Put at its briefest the
explanation is this: his object was to give Englishmen a
literature bodily, instantly as it were, by transferring into
our tongue, such as he found it and made it, the famous
[p. 282] Our business here is instantly to narrow all we have been
achievements of the great foreign writers. ...
saying into the statement, that with the above exceptions,
Chaucer's writings are a lackadaisical exaggeration of one
feeling—Love, and that in them the passion is taken in its
weakest, vainest form of sentimentality. He is, and for ever
will remain, the chief erotic poet of our language.",
part3_p123_a1,Vol.2,part III,p123,1878.,"Chaucer, Geoffrey.","Poetical Works of Chaucer,","with poems formerly printed with his, or attributed to him. Edited, with a Memoir, by R. Bell. Revised edition. ... With a preliminary essay by W. W. Skeat. 4 vols. [A revised edition of that of 1854-6, q.v. above.]","[The introductory essay (vol. i, pp. 1-12) is concerned with
the Chaucer canon. The Testament of Love, Rom. Rose,
Complaint of the Black Knight, Cuckoo and Nightingale,
Flower and the Leaf, Chaucer's Dream (Isle of Ladies), Court
of Love, Virelai, etc., are declared to be spurious. They are
printed in this edition at the end of the genuine works.]",
part3_p123_a2,Vol.2,part III,p123,1878.,"Skeat, Walter William.",,"See above, Poetical Works.",,
part3_p123_a3,Vol.2,part III,p123,1878.,"Storr, Francis (the Younger), and Turner, Hawes.","Canterbury Chimes, or Chaucer Tales retold for Children.",Illustrated by woodcuts from the Ellesmere MS.,"[A very free rendering, in simple modern English, of Prol.,
and an abridgment of the Knightes, Man of Law's, Nonne
Prestes, Squieres, Frankeleyns and ""Chaucer’s"" Tales (the last
= Gamelyn, which is purposely inserted instead of Sir Thopas,
as being more suitable; see Preface, p. vi).]",
part3_p124_a1,Vol.2,part III,p124,1879-80.,"Gilman, Arthur.",,"See above, Poetical Works of Chaucer, edited by A. Gilman.",,
