ID,Volume,Part,Page,Date,Author,Title,Imprint,Quotation,Headnote
supp_p85_a2,Supplement,,p85,1880.,[Various],"Correspondence [in] Academy,","London, on St. Loy in Chaucer, as under:","Furnivall, F. J. Vol. xvii, pp. 385, 404, 422, 458-9.
Vol. xviii, p. 9.
Nicol, Henry. Vol. xvii, pp. 403, 458.
Skeat, Walter W. Vol. xvii, p. 403, 439-40.
Walcott, Mackenzie E. C. Vol. xvii, pp. 404, 476.
Hamilton, A. H. A. Vol. xvii, p. 422.
Fowler, James. Vol. xvii, pp. 475-6.
Dryden, H. Vol. xviii, p. 64.
Smith, L. Toulmin. Vol. xviii, p. 137.",
supp_p86_a1,Supplement,,p86,1881.,"Bloxam, W. M.",On Chaucer's Monument in Westminster Abbey,"[in] Archæological Journal, vol. xxxviii, 361-4.","[Showing that though the tomb was put up by Nicholas
Brigham in 1555, its date is about 1470-80, and it was probably
bought for about 6s. 8d. when the tombs of the Grey Friars
and other Churches were pulled down in 1547-52, and then
set up by Brigham to the memory of Chaucer.]",
supp_p86_a2,Supplement,,p86,1881.,"Dulcken, H. W.","Worthies of the World,","edited by H. W. Dulchen, London, 1881, pp. 241-256 [Geoffrey Chaucer].","[With portrait. A general popular account of Chaucer and
his times, wherein the birth is dated 1328, and the Flower and
Leaf, Chaucer's Dream, Cuckoo and Nightingale, Court of
Love, and Testament of Love, are described as Chaucer's.
The biography accordingly contains much erroneous matter.
Godwin seems to be the principal source of information.]",
supp_p86_a3,Supplement,,p86,1881.,"Fleay, F. G.",Historical Allusions in Sundry English Poets,"1. Chaucer. Read Feb. 1881. (Printed in Transactions of the Royal Hist. Soc. New Series, vol. i, 1884, pp. 119-127.)","[Chaucer's Dream, Romance of the Rose, Assembly of Fowls,
Queen Annelyda and False Arcite, Legend of Good Women.]",
supp_p86_a4,Supplement,,p86,1881-1882.,"Furnivall, F. J.",A Parallel Text Print of Chaucer' Troilus and Criseyde,"from the Campsall MS. . . , the Harleian MS. 2280, and the Cambridge University Library MS. Gg. 4. 27. [Issued in two parts.]",,
supp_p86_a5,Supplement,,p86,1881.,"Furnivall, F. J.","Article [on] Derring-do [in] The Academy,","London, 1881, vol. xix, p. 320.",,
supp_p86_a6,Supplement,,p86,1881.,"Furnivall, F. J.",Correspondence on Chaucer's Grandfather,"[in] Athenæum, Jan. 1 and Feb. 12, pp. 21, 35.",,
supp_p86_a7,Supplement,,p86,1881.,"Furnivall, F. J.","Articles [in] The Academy,","London, Jan. 29, 1881, vol. xix, p. 79; Feb. 5, pp. 97-8.","[p. 79] [Note on Mr. Walter Rye's find that John Chaucer
(Geoffrey's father) was the son of Robert Chaucer.]
[p. 97] Mr. Rye says that Riley's Liber Albus first drew his
attention to the Coram Rege Roll in which the above dis¬
covery was found.",
supp_p87_a1,Supplement,,p87,1881.,"Grant, Charles.",The Fairy Land of Shakespeare,"[in] Gentleman's Magazine, London, April, 1881, vol. ccl, p. 434.","Both in the Decameron and The Canterbury Tales we
find the same delight in the facts of life, the same clear eye
for realistic detail, which distinguished the English drama
of the Elizabethan age. . . . But the interest which was
awakened by the manners and actions of men was afterwards
concentrated on their characters and passions. We find in
Boccaccio, and still more frequently in Chaucer, many traces
of a personal leaning towards the later manner. The descrip¬
tion of the pilgrims, the quarrel between the Reeve and the
Miller, the Wife of Bath's Prologue, and, indeed, most of
the incidents by the way, are conceived in the spirit of the
Elizabethan dramatists.",
supp_p87_a2,Supplement,,p87,1881.,"Haweis, Mrs. H. R.",Chaucer for Schools.,"London, 1881.","[Contents:—Forewords. Glimpses in Chaucer. Accent of
Chaucer. Table of Historical Events. Principal Authorities
Consulted. Chaucer the Tale-teller:—Chaucer's Time, Work,
Home, London, Appearance, Court Life, Position, Prosperity,
Adversity, Politics, Life-work, Speech. Canterbury Tales:—
Chaucer's Pilgrims, Chaucer's Prologue, The Knight's Tale,
The Clerk's Tale, The Monk's Tale, The Nun's Priest's
Tale, The Man of Law's Tale, The Pardoner's Tale. Minor
Poems:—Good Counsel of Chaucer, A Balade of Gentilnesse,
Two Rondeaux, Proverbs of Chaucer, Virelai, Complaint of
Chaucer to his Purse. Fragments:—The Daisy, A Vision of
a Garden, The Sea-Fight, Antony and Cleopatra.]",
